,Month,Overview,Titles,Year
96,12,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",Star Trek: Insurrection,1998
97,07,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",Species,1995
98,01,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,The 5th Wave,2016
99,11,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",Treasure Planet,2002
100,03,"A taxi driver gets more than he bargained for when he picks up two teen runaways. Not only does the pair possess supernatural powers, but they're also trying desperately to escape people who have made them their targets.",Race to Witch Mountain,2009
101,11,"When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.",Planet 51,2009
102,05,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",Alien,1979
103,04,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",The Hitchhiker's Guide to the Galaxy,2005
104,09,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",Riddick,2013
105,06,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",Predator,1987
106,02,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",Paul,2011
107,06,"A group of aliens return to earth to take back some cocoons of their people they left behind from an earlier trip. They kept the recovered cocoons in the swimming pool of a house they rented in a small Florida town. Their mission is hampered by a number of old people from an elderly home nearby, who have been secretly using the pool and discovering the unusual power of these cocoons.",Cocoon,1985
108,07,"Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.",Final Fantasy: The Spirits Within,2001
109,12,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",Jimmy Neutron: Boy Genius,2001
110,02,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,Escape from Planet Earth,2013
111,07,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",The X Files: I Want to Believe,2008
112,07,"Four everyday suburban guys come together as an excuse to escape their humdrum lives one night a week. But when they accidentally discover that their town has become overrun with aliens posing as ordinary suburbanites, they have no choice but to save their neighborhood - and the world - from total extermination.",The Watch,2012
113,11,"When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.",Skyline,2010
114,11,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",Zathura: A Space Adventure,2005
115,03,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",Mission to Mars,2000
116,07,A group of kids must protect their vacation home from invading aliens.,Aliens in the Attic,2009
117,07,"A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman.",Meet Dave,2008
118,10,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",K-PAX,2001
119,01,"Ti, a really poor construction worker that struggles to keep his son, Dicky, in private school, mistakes an orb he finds in a junkjard for a toy which proves to be much, much more once the young boy starts to play with it.",CJ7,2008
120,06,"After a construction project begins digging in their neighborhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. When everyone around them refuses to take the messages seriously, the three embark on a secret adventure to crack the code and follow it to its source. But taking matters into their own hands gets the trio in way over their heads when they discover a mysterious being from another world who desperately needs their help. The epic, suspenseful and exciting journey that follows will change all of their lives forever.",Earth to Echo,2014
121,11,"Since the 1960s, a disproportionate number of the population in and around Nome, Alaska, have gone missing. Despite FBI investigations, the disappearances remain a mystery. Dr. Abigail Tyler, a psychologist, may be on the verge of blowing the unsolved cases wide open when, during the course of treating her patients, she finds evidence of alien abductions.",The Fourth Kind,2009
122,12,"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",Aliens vs Predator: Requiem,2007
123,12,"When some very creepy things start happening around school, the kids at Herrington High make a chilling discovery that confirms their worst suspicions: their teachers really are from another planet! As mind-controlling parasites rapidly begin spreading from the faculty to the students' bodies, it's ultimately up to the few who are left – an unlikely collection of loners, leaders, nerds and jocks – to save the world from alien domination.",The Faculty,1998
124,03,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",Mars Needs Moms,2011
125,02,"The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery, they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best, smart and logical, and the perfect choice to learn more about the spacecraft.",Sphere,1998
126,02,"News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.",My Favorite Martian,1999
127,06,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction.",Titan A.E.,2000
128,09,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",The Box,2009
129,12,An alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.,Starman,1984
130,07,A video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best Starfighters to defend their world from the attack.,The Last Starfighter,1984
131,07,"Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies it's authenticity, others say it's the real reason we've never gone back to the moon.",Apollo 18,2011
132,02,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",Dark Skies,2013
133,12,"The first remake of the paranoid infiltration classic moves the setting for the invasion, from a small town to the city of San Francisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"", realises that he and his friends must escape or suffer the same fate. But who can he trust to help him and who has already been snatched?",Invasion of the Body Snatchers,1978
134,03,"A group of men who were clearing bush for the government arrive back in town, claiming that their friend was abducted by aliens. Nobody believes them, and despite a lack of motive and no evidence of foul play, their friends' disappearance is treated as murder.",Fire in the Sky,1993
135,06,Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people it kills.,The Thing,1982
136,07,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",Flight of the Navigator,1986
137,04,"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously.",Spaced Invaders,1990
138,08,"Washington, D.C. psychologist Carol Bennell and her colleague Dr. Ben Driscoll are the only two people on Earth who are aware of an epidemic running rampant through the city. They discover an alien virus aboard a crashed space shuttle that transforms anyone who comes into contact with it into unfeeling drones while they sleep. Carol realizes her son holds the key to stopping the spread of the plague and she races to find him before it is too late.",The Invasion,2007
139,12,"Trying to rescue her home planet from destruction, a gorgeous extraterrestrial named Celeste arrives on Earth and begins her scientific research. She woos quirky scientist Dr. Steve Mills, a widower with a young daughter. Before long, Celeste finds herself in love with Steve and her new life on Earth, where she experiences true intimacy for the first time. But when she loses sight of her mission, she begins to question where she belongs.",My Stepmother is an Alien,1988
140,04,A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.,Critters,1986
141,12,"A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor, but from the enemy species he was fighting; they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.",Enemy Mine,1985
142,01,"Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...",Dark Angel,1990
143,03,"SG-1 searches for an ancient weapon which could help them defeat the Ori, and discover it may be in the Ori's own home galaxy. As the Ori prepare to send ships through to the Milky Way to attack Earth, SG-1 travels to the Ori galaxy aboard the Odyssey. The International Oversight committee have their own plans and SG-1 finds themselves in a distant galaxy fighting two powerful enemies.",Stargate: The Ark of Truth,2008
144,04,"Ratchet and Clank tells the story of two unlikely heroes as they struggle to stop a vile alien named Chairman Drek from destroying every planet in the Solana Galaxy. When the two stumble upon a dangerous weapon capable of destroying entire planets, they must join forces with a team of colorful heroes called The Galactic Rangers in order to save the galaxy. Along the way they'll learn about heroism, friendship, and the importance of discovering one's own identity.",Ratchet & Clank,2016
145,08,"Remake of the 1958 horror sci-fi about a deadly blob which is the spawn of a secret government germ warfare project which consumes everyone in its path. Teenagers try in vain to warn the townsfolk, who refuse to take them seriously, while government agents try to cover up the evidence and confine the creature.",The Blob,1988
146,06,Eccentric aliens give a man the power to do anything he wants to determine if Earth is worth saving.,Absolutely Anything,2015
147,02,"When a nuclear missile was fired at Washington in 1945, Captain America managed to detonate it in the upper atmosphere. But then he fell miles into the icy depths of the North Atlantic, where he remained lost for over sixty years. But now, with the world facing the very same evil, Captain America must rise again as our last hope for survival.",Ultimate Avengers,2006
148,07,During a Space Shuttle mission a satellite rams a unidentified flying object. The UFO afterwards performs an emergency landing in the deserts of Arizona. However the White House denies it's existence because of the near presidential elections. The UFO is brought to the secret hangar 18 and the accident is claimed to incompetence of the astronauts Bancroff and Price. But the two fight against this and try to hunt down the UFO.,Hangar 18,1980
149,03,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,Under the Skin,2014
150,06,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor.",Galaxina,1980
151,06,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border.",Monsters,2010
152,05,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,Attack the Block,2011
153,09,"In this musical comedy, Valerie is dealing with her philandering fiancé, Ted, when she finds that a trio of aliens have crashed their spaceship into her swimming pool. Once the furry beings are shaved at her girlfriend's salon, the women discover three handsome men underneath. After absorbing the native culture via television, the spacemen are ready to hit the dating scene in 1980s Los Angeles.",Earth Girls Are Easy,1988
154,04,"A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again.",Critters 2,1988
155,02,"A down and out young punk gets a job working with a seasoned repo man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the CIA, and a most wanted '64 Chevy.",Repo Man,1984
156,06,"The Pictorians have arrived from deep in space. They also have dangly glow-balls on their heads, which is kinda cool, but still. The freaky aliens are using use their crazy rainbow-beam-thingy to paint everything on Earth the same color: white! See, now the title of the movie makes more sense, right? Anyway, if the Pictorians are to be stopped, the Allied guys and the Axis boys - plus some new characters, too - must set aside their differences, unite against their common foe, and hopefully get together for a sweaty workout to make sure they're super-ready to save the world!","Hetalia: Axis Powers: Paint It, White!",2010
157,11,A novelist's wife and son see him changed by an apparent encounter with aliens in the mountains.,Communion,1989
158,05,"When an abused wife grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind.",Attack of the 50 Foot Woman,1958
159,02,,El gran marciano,2001
160,06,"When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens.",Body Snatchers,1993
161,10,A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.,Beyond Skyline,2017
162,02,"A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world.",TerrorVision,1986
163,05,A science fiction vampire movie. The Vampire is an emissary from an embattled world near destruction who teleports to Earth to see if they can live here. He finds that our blood is nourishing and that at least one source of it is a steady stream of transfusions. He hypnotizes a Dr. to provide them and has his blond nurse move in to administer them.,Not of This Earth,1988
164,04,"An evil alien bong crashes on earth. Its intent: world domination. Our stoner heroes are sent to the alien bong planet and held captive by nude alien beauties. Their only hope to escape and save planet earth: Eebee, the original Evil Bong.",Evil Bong 3: The Wrath of Bong,2011
165,10,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers-one human, one vampire, and one zombie-have to team up to figure out how to get rid of the visitors.",Freaks of Nature,2015
166,05,"The third film in a trilogy by writer-director Gregg Araki. Described as ""90210 on acid"", the film tells the story of a day in the lives of a group of high school kids in Los Angeles and the strange lives they lead.",Nowhere,1997
167,08,"A comedy that tells the story of a small New Jersey town on the night of Orson Welles' famed 1938 War of the Worlds radio broadcast, which led millions of listeners to believe the U.S. was being invaded by Martians.",Brave New Jersey,2017
168,07,"Kevin Flounder finds out that a local news station is hosting a children's news show, and jumps at the chance to audition for director. Getting the job was easy, as Kevin finds out with an interview with managers Mr. Gordeol and Feol, but little does he know... his whole team of co-workers are aliens trying to take over the world using the human voice. With little time and an alien race with voice-stealing powers out to get him, Kevin must think fast and destroy the alien menace.",The Random News Movie,2010
169,03,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.",Dreamcatcher,2003
170,10,"Nerdy Herbert meets Annie, the holier-than-thou girl of his dreams. But his plans for romance might be derailed by a nasty punk rocker, a mad scientist, obsessed federal agents... and mysterious aliens bent on destroying the planet!",Anonymous Celebrities: Animatic,2005
171,04,"After killing the crooked mayor a homicidal janitor named Abdullah goes to work for a butcher who has invented a new language for the town's planned futuristic theme park. In the butcher shop is a septic tank where scraps of meat are dumped which has produced ""balonium"" a radioactive fuel source sought after by space aliens. The aliens revive the mayor, who's body is hanging in the meat locker of the butcher shop, in an attempt to gain access to the balonium.",Big Meat Eater,1982
172,,An interview with a UFO whistleblower,The Anonymous Interview,
173,01,"In 1989, Bob Lazar came forward with an incredible story: He had been recruited by the US government to work at the top secret Groom Lake/Area 51 research base better known as ""Dreamland"" (actually at the S4 site, Papoose Lake which is a few miles to the south of Groom Lake) to reverse engineer alien spacecraft!",The Lazar Tape,1991
174,10,"When two teenagers discover an unusual object possessing supernatural abilities, they find themselves dealing with more power than they can handle.",Psychoacoustic,2015
175,08,"Three coming of age boys always meet up at the local water tower every summer to hang out, soon do they figure out the dark history behind the town's water tower.",The Water Tower,2013
176,08,The sun is dying. A few explorers set out into deep space in search of a new home for humanity.,The Garden,2015
177,09,"Because of a small navigation mistake Lord Buckethead lands on Earth instead of ""in a galaxy far, far away"". But he is still looking for the princess and the secret transmissions.",Hyperspace,1984
178,07,A boy named Tsutomu and four cyborg dogs fight against insect-type aliens from the Planet Devil.,GO GET THEM 0011!!,1972
179,01,"A documentary exploring the existence of UFOs and extra-terrestrial beings. Hosted by the LEGENDARY Rod Serling. This was considered his ""coming out the closet"" in regards to his deep belief in UFOs just before his death from cancer.",UFOs: It Has Begun,1979
180,11,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.",Doctor Who: The Day of the Doctor,2013
181,09,"The plot follows a group of sexy space vixens who fly down to Earth, set up shop at a carnival (disguising their ship as a ride), and kidnap some earthlings for use in their scheme to conquer our planet. The humans, including Marcos (Rogelio Guerra), a crooked boxer and our hero, Silvia (Adriana Roel), his love interest, and a gang of comical mobsters out to revenge themselves on Marcos, are taken to the women’s home planet. There they are held prisoner by the evil queen Adastrea (Lorena Velazquez) and aided by her selfless twin Alburnia (Velazquez again). Meanwhile, a standard issue hunky scientist back on Earth, who happens to be Silvia’s boss, tries to rescue them.",Planet of the Female Invaders,1967
182,09,"What is going on out in the nevada desert ? the incredible story of bob lazar, the man who claims to have worked on a covert govt ufo project at area 51",Dreamland: Area 51,1996
183,,"On June 29, 2016, a strange cloud formed in the sky of Cartagena de Indias, Colombia; drawing attention and creating superstition in its inhabitants. Cloud formation alters the behavior of some people, causing them hostile and murderous attitudes toward their peers. A group consisting of four young people who were not affected by the phenomenon, will seek ways to cope with this situation and return peace and tranquility to the city.",NUBO,
184,01,"A feature film docu-comedy about UFOs, Aliens, Sightings, Abductions, Other Worldly Visitors, Extra Terrestrials, UFO Researchers, Government Cover-ups, Close Encounters, Flying Saucers, Alien Spacecraft, an Impact Site, Alien Bodies, an Alien Autopsy, the 509th Bomb Group, Atomic Bomb Testing, The Trinity Site, the White Sands Missile Test Range, Los Alamos, the crash of 1947 at Roswell, New Mexico, U.S.A. which became known as the Roswell Incident, and the people of the town of Roswell who now commemorate the UFO crash every july 4th weekend at the Roswell UFO Encounter celebration.",Six Days in Roswell,1998
185,09,"Nine-year old Andreas Decker is the new kid in town. He tells his class that he has lived all over the world on account of his parents being top scientific researchers. Yet classmate Vero finds Andreas's workaholic parents really weird. She suggests to spy on them. When Andreas overhears their conversation about conquering the world and becoming leaders, their can only be one conclusion for the baffled children: Andreas's parents are aliens.",Science Fiction,2002
186,01,Aliens masquerading as owners of a small town video store distribute tapes that cause anyone who watches them to pleasure themselves and whoever else is nearby.,Sex Files: Pleasureville,2000
187,11,,Estranha Ligação,2015
188,01,,No humanos,2015
189,04,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A Stalker guides two men into the Zone, specifically to an area in which deep seeded desires are granted.",Stalker,1979
190,09,A Trip to The Moon is a science fiction film from the French film pioneer Georges Méliès from the year 1902 about a trip to the moon. The film was the first film with a self-contained plot and was the beginning of the Science Fiction genre.,A Trip to the Moon,1902
191,05,"It's 2150. There are all sorts of Aliens living throughout space. Johnny is a Space Delivery Man who travels to different planets to deliver packages. Johnny is lazy and his only desire is to sleep in his autopilot spaceship. When the spaceship arrives at the destination, all he has to do is simply deliver the box. However, it never goes as planned. Johnny encounters strange and bizarre planets and always seems to cause trouble on his delivery route.  Will he be able to finish his mission without trouble?",Johnny Express,2014
192,05,"Fantastic Planet tells the story of “Oms”, human-like creatures, kept as domesticated pets by an alien race of blue giants called “Draags”. The story takes place on the Draags’ planet Ygam, where we follow our narrator, an Om called Terr, from infancy to adulthood. He manages to escape enslavement from a Draag learning device used to educate the savage Oms — and begins to organise an Om revolt.",Fantastic Planet,1973
193,01,"An elderly couple's dog must defend them from a malicious space chicken, bent on conquest by infecting them with mutagenic eggs. First this quiet farm in the middle of nowhere, next, the world!",The Chicken from Outer Space,1996
194,04,"Ned Deedry, a conspiracy theorist and Extra-Terrestrial enthusiast, had always dreamed of making contact with other-worldly visitors. But, when that day finally arrived, things don't play out the way he'd hoped...",U.F.Oh Yeah,2015
195,02,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Invasion of the Body Snatchers,1956
196,09,An alien and a robot land on earth after World War II and tell mankind to be peaceful or face destruction. A classic science fiction film from Robert Wise with an exceptional message.,The Day the Earth Stood Still,1951
197,11,"A group of students from the Cosmo Academy are about to take their final exam: surviving for over fifty days in a derelict ship. But when they arrive, they discover that instead of ten students, there are eleven. One of them doesn't belong there...",They Were Eleven,1986
198,01,"The Earth is attacked by a giant jellyfish monster from outer space that, for some reason, has a sweet tooth for diamonds.",Dogora,1964
199,01,"The Earth is attacked by a giant jellyfish monster from outer space that, for some reason, has a sweet tooth for diamonds.",Dogora,1964
200,01,"This is the story of two apprentices who know more than their mentors. One is Kasper, who discovers the Hidan of Maukbeiangjow, to where six girls have been abducted. He is apprentice to Sam Trowel, whom Fred refers to as ""private pig,"" an independent investigator who gets his mission information through a time-delay self-destruct tape (that is a parody of Mission: Impossible). The other is Prudence, a Christian spiritualist who is an apprentice to a wizard named Aph. Aph has had the impudence to use vodoun rituals to possess corpses with demonic earth spirits, or the spirits of extraterrestrials summoned from the Red Star galaxy. Fred and Junior tie up Prudence and a zombified girl named Rosebush while an alien learning to use the body of Ruthie, one of Trowel's operatives, keeps Kasper tied up while she guards whom she calls ""the Prudence."" The first alien brought by Aph eventually takes Trowel's body. He is intent to use Fred's safe-cracking skills to destroy evidence of his arrival",The Hidan of Maukbeiangjow,1973
201,07,"Remastered, re-cut, re-imagined, remarkable! (keep in mind this is considered by some to be nothing more than censorship, removing the best lines and the only nudity, actually making runtime less, compare the Uncut to Final Cut and make up your own mind). The thrilling pilot episode of television's longest-running sci-fi series. An alien similar to Ra appears out of the Stargate, killing five soldiers and kidnapping another, a year after the original Stargate mission. A new team is assembled, including some old members, and they go in search of the missing soldier in order to find out how Ra could still be alive. Meanwhile, the alien Gou'ald kidnap Sha're and Skaara, implanting them with symbiotes and making them Gou'ald hosts.",Stargate SG-1: Children of the Gods - Final Cut,2009
202,04,Dave Fleischer sends Koko to Mars.,Trip to Mars,1924
203,09,A man walking on the fields encounters an alien visitor from outer space.,Contact,1978
204,07,This documentary on The UFO Phenomenon aims to show that some UFOs may be extraterrestrial and that secrecy and ridicule are regularly employed to keep the truth about UFOs hidden.,Out of the Blue,2002
205,12,An examination of mysteries of the ancient world and their connection to the possibility that aliens visited Earth.,In Search of Ancient Mysteries,1973
206,01,,Vampiros Sexos,1988
207,03,"A mysterious young woman materializes in the middle of the southwestern desert, where each step teaches her about her new world and her new body. As she assumes her new life, she discovers she has a twin with whom she shares more than just an outward appearance.",Imitation Girl,2017
208,03,"An undeniably beautiful alien is sent to Earth to study the complex mating rituals of human beings, which leads to the young interstellar traveler experiencing the passion that surrounds the centuries-old ritual of the species.",Lolita from Interstellar Space,2014
209,01,A singing cowboy falls foul of alien invaders and beautiful women from Venus.,The Ship of Monsters,1960
210,10,A man invites his friend over one night to show off his latest invention: a trap for catching aliens.,The Trap,2015
211,04,"Ghost Rockets centers on human desire to explore and explain the unknown. The film weaves together an ambitious UFO investigation with a personal story that gives a rare insight into the hearts and minds of a UFO-investigator.  Every year, the organization UFO‐Sweden receives numerous reports about inexplicable occurrences ‐ usually dismissed as having to do with the moon, airplanes, satellites or mental instability on the part of the witness. Sometimes, though, they get a report that they are unable to explain, one of them being the story of the ghost rocket.",Ghost Rockets,2015
212,05,"The hunt for aliens is on! After a distinguished career in cosmology Professor Martin Rees, the astronomer royal, has taken up the search for extra-terrestrials. Looking for aliens is no longer science fiction - it is a question that's engaging some of the greatest minds in science.  As our knowledge of the universe has increased, we're getting closer to answers. Many scientists now think we live in galaxy with a billion Earth-like planets, many of which may be teeming with life. But what kind of life? Has anything evolved into beings we could communicate with? This film gets inside the minds of the scientists considering one of the most exciting and profound questions we can ask - are we alone in the universe?  Professor Rees thinks we may have our idea of what an alien is like all wrong. If he's right, it's not organic extra-terrestrials we should look for, it's machines.",BBC - Aliens: The Big Think,2016
213,01,"A documentary-style short film about the arrival of an alien spaceship over Johannesburg, South Africa.",Alive in Joburg,2005
214,02,"Six-year-old Ataru steps on Elle's shadow during an impromptu game of shadow-tag; in Elle's culture, this is viewed as a marriage proposal. Eleven years later, Elle returns to Earth in order to marry Ataru — by which time not only had he forgotten the events of his childhood, but he was also going out with Lum. The rest of the plot focuses on Lum's attempts to prevent the marriage.  The film was directed by Mamoru Oshii who was mad at the many requests that the producer made of him to alter the movie. Rumiko Takahashi considers this film her favorite and it is the most true to the original series.",Urusei Yatsura: Only You,1983
215,07,Ba'al travels back in time and prevents the Stargate program from being started. SG-1 must somehow restore history.,Stargate: Continuum,2008
